arxiv_id,v1_date,title,one_line_claim,relation_to_us,covers,verified
2603.13404,2026-03-12,Schema First Tool APIs for LLM Agents,Compares free-form docs vs JSON Schema vs schema+structured diagnostics; schema reduces interface misuse not semantic misuse,Static interface-format ablation; one local model pilot; no drift,C3-adjacent,yes
2606.05037,2026-06-03,Self-Reflective APIs: Structure Beats Verbosity for AI Agent Recovery,Machine-readable recovery payload on validation failure beats prose diagnoses (+36-40pp on Anthropic models),Pre-empts generic 'structured feedback beats prose' claim on error side; static API no drift no diff,C3-adjacent,yes
2606.05339,2026-06-04,A Taxonomy of Runtime Faults in Model Context Protocol Servers,73 fault types incl. parameters accepted but not enforced leading to unintended default behavior,Empirical taxonomy documenting accepted-with-wrong-semantics in the wild; motivation citation for C2,C2-motivation,yes
2609.00072,2026-08-31,Can MCP Clients Decide What to Do After Failure? A Result-Only Actionability Audit,MCP isError results rarely make concrete recovery or safe replay self-contained,Setup pass for C3: machine-actionable recovery info is missing in practice,C3-motivation,yes
2608.23635,2026-08-23,ToolRobustBench: Stage-Wise Perturbation Evaluation and Failure Diagnosis for Tool-Calling Agents,4 perturbation families 14 subtypes 7 models; tool-interface subtypes are name shift / description abstraction / sibling confusability,Tool-level not parameter-schema-level; no silent category no recovery comparison,C1-adjacent C4,yes
2608.11977,2026-08-12,Retry Switch or Abstain? Learning Strategy-Aware Tool-Use Policies via Controlled Error Injection,Converts failure-free benchmarks into controlled stochastic environments; recovery-policy comparison; 7 models,Failure recovery policies not schema drift,C3-adjacent,yes
2609.00243,2026-08-31,Invalidation Contracts for Cross-Episode Agent Memory,Server-side data drift turns cached fixes into silent failures; version stamps evict stale entries,Memory-caching layer; vocabulary collision with C2/C3 only,C2-adjacent,yes
2606.09863,2026-06,From Confident Closing to Silent Failure: Characterizing False Success in LLM Agents,False success = 45-48% of failures in tau2-bench domains; 75.8% in AppWorld,Silent-failure wave; not tied to schema drift as cause,C2-partial,yes
2606.14589,2026-06,When Errors Become Narratives: A Longitudinal Taxonomy of Silent Failures in a Production LLM App,Longitudinal taxonomy of silent failures in production,Silent-failure wave; no drift,C2-partial,yes
2606.09071,2026-06,REFLECT: Intervention-Supported Error Attribution for Silent Failures in LLM Agent Traces,Agents complete without exceptions yet final answer wrong; error attribution,Silent-failure wave; no drift,C2-partial,yes
2606.08162,2026-06,Silent Failure in LLM Agent Systems: The Entropy Principle,Silent failure framed via entropy of autonomous systems,Silent-failure wave; conceptual,C2-partial,yes
2607.07405,2026-07,Reason Less Verify More: Deterministic Gates Recover a Silent Policy-Violation Failure Mode,Silent wrong states that neither tool nor self-report exposes; deterministic gates recover,Verification-gate defense; no drift,C2-adjacent,yes
2511.00160,2025-10-31,What a diff makes: automating code migration with large language models,Contexts containing diffs significantly improve code-migration performance vs out-of-the-box LLMs,NEAREST NEIGHBOR TO C3 in another domain (code migration not tool calling); must delineate explicitly,C3-adjacent,yes
2506.20495,2025-06-25,ReCode: Updating Code API Knowledge with Reinforcement Learning,RL to update API knowledge; prompt-only update info insufficient,Code-API migration; useful foil for prompting-only levers,C3-adjacent,yes
2507.12367,2025-07,GitChameleon 2.0: AI Code Generation Against Python Library Version Incompatibilities,328 version-conditioned problems on real historical breaking changes; execution-based,Code-gen version drift; related-work citation,C1-adjacent,yes
2607.17957,2026-07,DepRepair: LLM-Based Source-Code Repair for Dependency Breaking Changes,Prompts with raw upstream changelog/migration guide for dependency breakage repair,Changelog-prompting in code domain; delineate from C3,C3-adjacent,yes
2607.14167,2026-07,Structured Feedback Improves Repair in an LLM Agent Loop,Field-level feedback (location observed value admissible alternatives) lifts success 14/50 to 36/50,Structured ERROR feedback one step from structured diff; cite and delineate,C3-adjacent,yes
2608.23651,2026-08-24,Feedback That Backfires: Why Small LM Agents Repeat the Call They Just Watched Fail,Failed call's surface form accounts for 83% of damage in retry loops,Supports C3 motivation (why naive retry fails),C3-support,yes
2509.18847,2025-09-23,Failure Makes the Agent Stronger: Structured Reflection for Reliable Tool Calling,Trains reflect-then-call; Tool-Reflection-Bench of erroneous call / reflection / corrected call,Trained retry; baseline family for C3 comparison,C3-adjacent,yes
2510.17874,2025-10-17,Repairing Tool Calls Using Post-tool Execution Reflection and RAG,RAG-based reflection repairs kubectl calls +36% correct answers,Post-execution repair; baseline family,C3-adjacent,yes
2510.17052,2025-10,ToolCritic: Detecting and Correcting Tool-Use Errors in Dialogue Systems,Detects/corrects eight tool-use error types via feedback,Error-correction family; static schema,C3-adjacent,yes
2310.07075,2023-10,Don't Fine-Tune Decode: Syntax Error-Free Tool Use via Constrained Decoding,Constrained decoding guarantees syntactically valid tool calls,Orthogonal; would MASK drift by validating against stale schema - discussion point,C3-orthogonal,yes
2303.11366,2023-03,Reflexion: Language Agents with Verbal Reinforcement Learning,Verbal self-reflection improves agents,Classic self-correction; generic,background,yes
2305.11738,2023-05,CRITIC: LLMs Can Self-Correct with Tool-Interactive Critiquing,Tool-interactive critiquing for self-correction,Classic self-correction; generic,background,yes
2508.20453,2025-08-28,MCP-Bench: Benchmarking Tool-Using LLM Agents with Complex Real-World Tasks via MCP Servers,28 live MCP servers 250 tools; static interfaces,Static MCP benchmark; background,background,yes
2512.24565,2025-12-31,MCPAgentBench: A Real-world Task Benchmark for Evaluating LLM Agent MCP Tool Use,Dynamic sandbox with distractor tools,Static contract; background,background,yes
2602.11348,2026-02-11,AgentNoiseBench: Benchmarking Robustness of Tool-Using LLM Agents Under Noisy Condition,User-noise and tool-noise robustness,Noise not versioning,background,yes
2601.04688,2026-01-08,ToolGate: Contract-Grounded and Verified Tool Execution for LLMs,Hoare-style tool contracts with runtime pre/postcondition verification,Defense relevant to C2 discussion,C2-adjacent,yes
2602.11224,2026-02-11,Agent-Diff: Benchmarking LLM Agents on Enterprise API Tasks via State-Diff Evaluation,State-diff EVALUATION of API tasks,'Diff' is evaluation-side not conditioning; no conflict; name collision only,background,yes
2605.24941,2026-05-24,Memory-Induced Tool-Drift in LLM Agents,Memory bias silently affects tool calls,Different 'drift'; search-collision citation,background,yes
2608.02358,2026-08-03,ScrambleToolBench: Agents Search Exhaustively Even When Their Own Map Points to the Next Step,Belief inertia under mapping drift,Supports our claims; different object,background,yes
2608.15763,2026-08-16,TaoLive Digital Avatar Agent Technical Report (harness-aware training),Task-preserving transformations of tool schemas as training augmentation,Training-side schema transforms; watch and cite,C1-adjacent,yes
2401.08326,2024-01-16,RoTBench: Multi-Level Benchmark for Robustness of LLMs in Tool Learning,Five noise levels corrupting tool/parameter names on the PRESENTED schema,Adversarial noise on static presented contract; no believed-vs-enforced mismatch,C1-adjacent,yes
2403.07714,2024-03-12,StableToolBench: Towards Stable Large-Scale Benchmarking on Tool Learning,Virtual API server to eliminate real-API instability from evaluation,Treats drift as nuisance to freeze away; best motivating citation,motivation,yes
2307.16789,2023-07-31,ToolLLM: Facilitating LLMs to Master 16000+ Real-world APIs,Tool-use training/eval on static real APIs,Classic static benchmark,background,yes
2304.08244,2023-04-14,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,Tool-use effectiveness benchmark,Classic static benchmark,background,yes
2306.05301,2023-06-08,ToolAlpaca: Generalized Tool Learning with 3000 Simulated Cases,Compact-model tool use,Classic static benchmark,background,yes
2306.13304,2023-06-23,ToolQA: A Dataset for LLM QA with External Tools,Tool-augmented QA,Classic static benchmark,background,yes
2308.03688,2023-08-07,AgentBench: Evaluating LLMs as Agents,Multi-environment agent eval,Classic static benchmark,background,yes
2309.15817,2023-09-25,ToolEmu: Identifying the Risks of LM Agents with an LM-Emulated Sandbox,Emulated sandbox for risky agent failures,Risk not drift,background,yes
2310.03128,2023-10-04,MetaTool: Deciding Whether to Use Tools and Which to Use,Tool-selection benchmark,Classic static benchmark,background,yes
2312.14033,2023-12-21,T-Eval: Evaluating Tool Utilization Step by Step,Sub-capability decomposition of tool use,Classic static benchmark,background,yes
2402.10753,2024-02-16,ToolSword: Safety Issues in Tool Learning Across Three Stages,Safety scenarios across input/execution/output,Safety not versioning,background,yes
2406.12045,2024-06-17,tau-bench: Tool-Agent-User Interaction in Real-World Domains,Function-calling agents <50% success and inconsistent,Classic static benchmark,background,yes
